"","d20071228","d20080131","d20080229","d20080331","d20080430","d20080530","d20080630","d20080731","d20080829","d20080926","d20081031","d20081128","d20081231","d20090123","d20090227","d20090331","d20090430","d20090527","d20090630","d20090731","d20090831","d20090930","d20091030","d20091130","d20091231","d20100129","d20100226","d20100331","d20100430","d20100531","d20100630","d20100730","d20100831","d20100930","d20101029","d20101130","d20101231","d20110131","d20110228","d20110331","d20110429","d20110531","d20110630","d20110729","d20110831","d20110930","d20111031","d20111130","d20111230","d20120131","d20120229","d20120330","d20120427","d20120531","d20120629","d20120731","d20120831","d20120928","d20121031","d20121130","d20121231","d20130131","d20130228","d20130329","d20130426","d20130531","d20130628","d20130731","d20130830","d20130930","d20131031","d20131129","d20131231","d20140130","d20140228","d20140331","d20140430","d20140530","d20140630","d20140731","d20140829","d20140930","d20141031","d20141128","d20141231","d20150130","d20150227","d20150331","d20150430","d20150529","d20150630","d20150731","d20150831","d20150930","d20151030","d20151130","d20151231","d20160129","d20160229","d20160331","d20160429","d20160531","d20160630","d20160729","d20160831","d20160930","d20161031","d20161130","d20161230","d20170126","d20170228","d20170331","d20170428","d20170531","d20170630","d20170731","d20170831","d20170929","d20171031","d20171130","d20171229","d20180131"
"000025.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000026.SZ",1.5,1.5,1,1.3333,1.6,1.6,1.875,1.6667,1.6667,1.6667,1.8889,1.8889,1.8889,1.8,1.75,2.2,2.2857,2.2857,2.5,2.6,2.6,2.6667,2.5,2.4,2.2,2.2,2.2,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.6667,1.6667,1.8,1.8,1.8,1.75,1.75,1.6,1.6667,1.5714,1.5714,1.4286,1.375,1.375,1.375,1.5,1.5,1.5,1.4286,1.5556,1.6,1.6667,1.8182,1.8182,2,2,2,2,2,2,2,1.8571,1.8571,1.7778,1.7692,1.7,1.7,1.6667,1.6667,1.6667,1.625,1.5714,1.5,1.4286,1.5,1.4444,1.4,1.3636,1.5,1.5,1.5,1.5,1.625,1.6667,1.6667,1.6667,1.6667,1.6667,1.75,1.8571,1.8571,1.875,1.875,1.875,1.8571,1.8571,1.8571,1.8333,1.8333,1.8333,1.8571,1.6667,1.75,1.75,1.75,1.6,1.6,1.5556,1.5455,1.5455,1.5455,1.5455,1.4545,1.4545,1.4545,1.4545,1.4545,1.4545
"000027.SZ",2.5,2.6667,2.6667,2.6667,2.5,2.5,2.3333,2.3333,2.8333,2.8571,2.5,2.3636,2.3636,2.4,2.2222,2.125,2.3333,2.3,2.25,2.0769,1.7143,1.7857,1.7333,1.7333,1.7059,1.7647,1.7692,1.7692,1.875,1.875,1.875,1.8667,1.875,1.875,1.7692,1.6923,1.7692,1.8462,1.8462,1.8462,1.8571,1.8571,1.8571,1.8571,1.7778,1.7778,1.75,1.75,1.75,1.8571,1.8571,2,2,1.8,1.8333,1.8333,1.6,1.6,1.75,2.25,2.25,2.25,2.25,2.3333,2.3333,3,3,2.6667,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2.3333,2.3333,2.3333,2.3333,3,3,3,3,2.3333,2.3333,2.3333,2.3333,2.3333,1,1,1,1,1.3333,1.3333,1.3333,1.3333,1.3333,2,2,2,2,2,2,NA,NA,NA,NA,2,2,2,2,2,2,2,1.5,1.5,1.5
"000028.SZ",1.375,1.375,1.4444,1.6667,1.6923,1.75,1.5455,1.5455,1.6,1.6364,1.6364,1.6364,1.7778,1.7778,1.6667,1.6,1.5455,1.5455,1.4615,1.4167,1.4167,1.4167,1.5,1.4,1.4444,1.4444,1.4444,1.375,1.375,1.4444,1.4444,1.5,1.5833,1.6667,1.7,1.7,1.7,1.7273,1.625,1.6364,1.6667,1.5,1.4,1.4545,1.5,1.5,1.4615,1.5,1.6154,1.6154,1.5556,1.6364,1.6364,1.6364,1.4444,1.4444,1.4545,1.5,1.6667,1.7,1.6364,1.6364,1.5556,1.5833,1.4545,1.5,1.5,1.5,1.5,1.5,1.5455,1.5,1.5,1.4444,1.3846,1.4286,1.3333,1.3333,1.3333,1.3333,1.4286,1.4,1.4615,1.4615,1.4615,1.4286,1.3636,1.5714,1.5385,1.5385,1.5385,1.5,1.6154,1.5,1.4286,1.4286,1.4286,1.4286,1.25,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.4286,1.4286,1.375,1.375,1.25,1.4444,1.3333,1.3636,1.3636,1.3846,1.5,1.5,1.6,1.6,1.625,1.6111
"000029.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"000030.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.5,1.5,1.5,1.6667,1.75,1.75,2,2,2,2,2,2,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.3333,1.3333,1.3333,1.3333
"000031.SZ",2,2,2,1.3333,1.3333,1.3333,1,2,2.5,2.6667,2.6667,2.6667,2.6667,2.6,2.3333,NA,NA,2.5,2.5,2.5,2.5,2.5,2.5,3,3,2.5,2.5,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2,2,2,2,2,NA,NA,NA,NA,3,3,3,3,3,3,3,NA,NA,1.5,1.5,1.5,1.5,1.5,1.5,NA,NA,2,2,2,2,1.5,1.5,1,1.5,1.3333,1.3333,1.3333,1.3333,1.3333,1,NA,1,1,1,1,1,1.5,1.5,1.5,1.5,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,NA,NA,NA,NA,NA
"000032.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000034.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,1.5,1.3333,1.2,1.1429,1.2222,1.2,1.2,1.2727,1.2727,1.2727,1.3333,1.3333,1.3333,1.5,1.5,1.4444,1.5714,1.5714,1.5714,1.3333
"000035.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.5,2,2,2,2,1.6,1.5714,1.5714,1.7143,1.5,1.4286,1.3333,1.2,1.1667,1,1,1,1,1.25,1.2,1.2,1.1667,1.2857,1.2857,1.1429,1.1429,1.1429,1.1429,1.1111,1.1,1.1,1.1,1,1,1.1,1.2222,1.2222,1.2222,1.25,1.25,1.25,1.25
"000036.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1,1,1.5,1.6667,1.6667,1.6667,1.6667,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1,1,1,1,1,1,1.2,1.2,1.1667,1.1667,1.1667,1.1667
"000037.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000038.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"000039.SZ",2.2143,2.2,2.2,2.1,2.2143,2.1429,2.2,2.2857,2.4,2.5,2.6,2.6667,2.8333,3,3,3,3.1667,3,3,2.8333,2.6667,2.6,2.5,2.4,2.2,2,1.4444,1.4545,1.5833,1.4545,1.4545,1.7273,1.5625,1.5,1.625,1.5882,1.5217,1.4,1.3636,1.36,1.3478,1.3333,1.4,1.381,1.5714,1.5789,1.6111,1.6111,1.6111,1.7222,1.7692,1.9444,1.8824,1.8,1.8,1.8125,1.875,1.7857,1.9167,1.9167,1.9091,1.9091,1.9091,1.7857,1.8571,1.9,1.9,1.8,1.7273,1.75,1.75,1.75,1.6667,1.6923,1.6,1.6364,1.5,1.5,1.5556,1.7143,1.5,1.6,1.6,1.6,1.6,1.6,1.6667,1.8333,1.8333,1.8333,1.7143,1.7143,1.7143,1.6667,1.6,1.6,1.6,1.5,1.5,1.6,2,2,1.7143,1.8571,2,2.2,2.2,1.8333,1.8333,1.625,1.375,1.3,1.2,1.1818,1.1818,1.2727,1.2,1.2,1.2308,1.2143,1.2143,1.2353
"000040.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,1,1,1,1
"000042.SZ",1.6667,1.6667,1.6667,1.6667,1.8,1.5,1.5,1.6667,1.6667,1.6667,2,2,2,2,2,1.8333,1.8571,1.875,1.7143,1.4286,1.3333,1.375,1.375,1.2857,1.2857,1.2857,1,1,2,2,2,2,1.75,1.75,1.6667,1.6667,1.6667,1.5,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,1.3333,1.3333,1.3333,1.25,1.25,1.25,1.25,1.25,1.3333,1.3333,1.3333,1.5,1.3333,1.3333,1,1.3333,1.25,1.25,1.25,1.25,1.25,1.25,1,1,1,1,1,1.125,1.1111,1.1111,1.1111,1.1111,1.2222,1.2222,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1,1,1,1,1,1,1,1,1
"000043.SZ",1,1.3333,1.6667,1.5,1.6667,1.6667,1.6667,1.8333,2.4,2.4,2.4,2.4,2.6,2.5,2.3333,2.3333,2.4,2.4,2.3333,2.2857,2.3333,2.3333,2.5714,2.5714,2.6667,2.75,2.6,2.5,2.5,2.5,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2,2,2,2,2,2,2,2,2,2,2,2,2,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,2,2,2,2,2,NA,NA,NA,NA,NA,1,1,1,1,1,1.3333,1.3333,1.25,1.5,1.6,1.6,1.6,1.6,1.6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.6667,1.6667,1.6667,1,1,1,1,1,1,1,1,1,1,1,1,1.3333,1.3333,1.3333,1.3333,1.5,1.6,1.6,1.6,1.6,1.6,1.6
"000045.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1.5,1.5,1.5,1.5,1.5,1.3333,1,1,1,1,1,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2
"000046.SZ",2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.75,1.75,2.2,2.2,2.2,2.3333,2.6,2.6667,2.6667,2.6667,2.6667,2.5556,2.4444,2.2,2,2.25,2.25,2.25,2,2,2,2,2,2,2.2,2.2,2.25,2.2,2.1667,2.1667,2.1667,2.1667,2.2,2.2,2.2,2.2,2.3333,2.3333,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,1,1,1,1,1.6667,1.6667,1.6667,2,1.75,1.75,1.8,1.8,1.8,1.8,2,2,1.5,1.5,1.5,1.5,1.5,NA,NA,2,1.6667,1.6667,1.5,1.5,1.5,1.3333,1.3333,1.3333,1,1,1,1,1,1,1,1,1.3333,1.5,1.5,1.5,1.3333,1.4286,1.4,1.5,1.5,1.5,1.4,1.3333,1.3333,1,1,1,NA,NA,NA,NA,NA,NA
"000048.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1.5,1.5,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000049.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,3,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2,2,2,1.6667,1.75,1.75,1.75,1.5,1.625,1.625,1.5455,1.6154,1.6154,1.75,1.7692,1.7857,1.9091,1.8182,1.6667,1.5714,1.625,1.6,1.375,1.2857,1.2857,1.4444,1.4286,1.8,1.8,1.6667,1.5714,1.4286,1.3333,1.3636,1.3636,1.3333,1.3636,1.3636,1.375,1.2,1.25,1.25,1.6667,1.6667,1.5,2,1.6667,1.6667,1.6667,1.6667,1.6667,1.75,1.5,1.5,1.5,1.5,1.6,1.5,1.5,1.5,1.5,2,1.6667,1.5,1.4,1.3333,1.3333,1.4545,1.2778,1.2778,1.2941,1.2941,1.25,1.2353,1.2353,1.2,1.2,1.2,1.2667
"000050.SZ",2.2222,2.2,2.125,2.1429,2.1111,2.1429,2,2.3333,2.75,2.75,2.75,2.75,2.6667,2.75,2.5,2.5,2.3333,2.3333,2.3333,2.3333,2,2,2,2,2,2.5,2,2,2,2,2,1,1.8,1.5714,1.7143,1.7143,1.7778,1.7778,1.6667,1.7143,1.8,1.8,1.75,1.75,1.8,1.8,1.3333,1.8,1.8,1.8,1.6667,1.6667,1.8,1.8,1.8,2,1.5,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,1.6667,1.3333,1.3333,1.3333,1.5,1.5,1.5,1.5,1.3333,1.3333,1.6667,1.6667,1.6667,2,1.8,1.8,1.8,2,2,2,1.8,1.3333,1.3333,1.3333,1.3333,1,1.2,1.3333,1.3333,1.25,1.3,1.3,1.3,1.2222,1.2222,1.2857,1.2857,1.2857,1.2857,1.5,1.2,1.1818,1.2,1.2,1.1538,1.1538,1.1667,1.3636,1.3333,1.4167,1.4167
"000055.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1.3333,1.3333,1.3333,1.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
"000056.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,1.6667,1.6667,1.6667,1.6667,1.6667,1.3333,1.3333,1,1.3333,1.3333,1.3333,1.3333,1.5714,1.5714,1.5,1.5,1.75,1.75,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA
"000058.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000059.SZ",NA,NA,NA,2,2,2,2,2,2,2,2,NA,NA,NA,1.75,1.875,1.875,1.875,1.9,1.8,1.8,1.8571,2,2,2,2,1.875,1.7,1.7,1.7,1.7,1.6364,1.7273,1.7778,1.7778,1.8,1.8,1.8,1.8,1.75,1.75,1.4286,1.3333,1.3333,1.5,1.5,1.5556,1.625,1.625,1.625,1.4,1.6667,1.625,1.625,1.625,2,2,2,2,2,1.9,1.8889,1.875,2,2,2,2,2.2,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1.2,1.2,1.1667,1.1667,1.1667,1.1429,1.1667,1.2308,1.25,1.2308,1.2143,1.2143,1.2143,1.25,1.5,1.5,1.5556,1.5556,1.5556,1.5556
"000060.SZ",2,1.8889,1.8,1.6,1.8,1.8333,2,2,2.3333,2.2857,2.5,2.3571,2.4167,2.5385,2.5833,2.6364,2.3846,2.3571,2.1875,2.1333,2.2,2.0952,2.0952,2.0455,2,2,1.7647,1.8095,1.75,1.7778,1.8333,1.8421,1.95,2.1333,1.8235,1.8824,1.85,1.8421,1.8235,1.8333,1.9231,1.8333,1.8333,1.8,1.8125,1.7273,1.7333,1.7333,1.7333,1.8333,1.8571,1.8667,2.0667,2.0769,2.0769,2.1429,2.2353,2.2353,2.3636,2.4,2.4,2.3,1.8,1.6667,1.6667,1.6923,1.6923,1.7857,1.9231,2,2.1111,2.25,2.2,2.2,2.125,2.2727,2.3,2.3,2.1111,2.1111,2.1,2,1.875,1.875,2,2,1.5,1.5,1.6,1.6,1.6,1.2857,1.25,1.25,1.4,1.4,1.4,1.4,1.6667,1.7143,1.7143,1.7143,1.75,1.75,1.8889,1.9,1.9091,1.8182,1.8182,1.5833,1.6154,1.6154,1.5556,1.3333,1.3333,1.3333,1.5,1.5,1.4444,1.5,1.5,1.5
"000061.SZ",1.8333,1.8571,1.8571,1.75,1.7143,1.6667,1.5714,1.5714,1.5714,1.5714,2.1111,2.1111,2.1818,2.3333,2.3636,2.3636,2.3,2.3636,2.4444,2.375,2.2222,2.2222,2.25,2.25,1.8889,1.8,1.6667,1.6,1.5,1.5,1.5714,1.5,1.2857,1.2857,1.625,1.3333,1.2857,1.4286,1.2,1.2,1.4,1.5714,1.6667,1.6,1.7143,1.7143,1.7143,1.5,1.5714,1.5714,1.4286,1.5,1.6667,1.8,1.8,1.8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.3333,1.25,1.4,1.4,1.6,1.6,1.6,2,2,2,2,2,2,2,2,2,2,2,1.3333,1.2,1.2,1.2,1.2,1.2,1.3333,1.2,1.2,1.2,1.25,1.25,1.25,1.25,1.25,1.25,1,1,1,1,1,1,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA
"000062.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,2.5,2.5,2.5,2.5,2.5,2.3333,2.25,2.25,2.3333,2.3333,2.3333,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,1.5,1.5,1.5,1.5,1.5,1.6667,1.6667,2,2,2,2,NA,NA,NA,1.3333,1.25,1.2,1.2,1.2,1.1667,1.1667,1.1667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"000063.SZ",1.48,1.4444,1.4231,1.4667,1.48,1.5385,1.5,1.5161,1.5556,1.5938,1.6579,1.5526,1.5714,1.6176,1.5806,1.6111,1.625,1.6452,1.5517,1.5,1.4722,1.3548,1.3824,1.4167,1.4571,1.4118,1.4,1.4,1.3846,1.36,1.3462,1.3462,1.3214,1.3571,1.3478,1.3462,1.3571,1.3,1.2963,1.2963,1.3077,1.24,1.2308,1.2308,1.2069,1.2069,1.2414,1.25,1.3214,1.3333,1.2963,1.2759,1.2414,1.2593,1.25,1.5,1.5714,1.5714,2.1154,2.2,2.3636,2.0952,2.1667,1.8571,1.7368,1.5,1.5217,1.3333,1.3214,1.2963,1.3103,1.3103,1.3103,1.3333,1.3333,1.3103,1.28,1.28,1.28,1.2917,1.2963,1.2963,1.32,1.32,1.3043,1.3043,1.2632,1.3333,1.3,1.3,1.2857,1.4,1.3043,1.3333,1.45,1.5,1.5263,1.5882,1.5294,1.5294,1.6842,1.8333,1.7778,1.8125,1.75,1.7143,1.6316,1.5238,1.4211,1.5,1.4444,1.4815,1.4333,1.4074,1.3793,1.3448,1.3214,1.3103,1.4286,1.4643,1.5357,1.4828
"000065.SZ",NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1.25,1.25,1.25,1.25,1.25,1.4,1,1,1,1,1.1667,1.1667,1.1667,1.1429,1.2222,1.2,1.2,1.1818,1.1429,1.1538,1.1538,1.1538,1.1538,1.2143,1.2,1.2,1.2,1.2
"000066.SZ",1.3333,1.3333,1.3333,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,1.75,1.75,1.75,1.5,1.5,1.5,1.6,1.6,1.4,1.4,1.4,1.4,1.4,1.6667,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,1.5,1.5,1,1,1,NA,NA,NA,NA,1.8,1.8,1.8,1.5,1.5,1.5,1.1667,1.1667,1.3333,1.3333,1.3333,1.25,1,1,1,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2
"000068.SZ",3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1.3333,1.25,1,1,1.1667,1.375,1.625,1.625,1.5556,1.5556,1.5556,1.5,1.5,1.5,1.5,1.5,1.5,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,NA
